p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.87227516772563e-83	1.27094722838825	0.345	0.162	7.98489651738041e-79	2	LOC107437772
1.16634892008209e-69	1.04924172708606	0.254	0.105	1.35518081024338e-65	2	LOC107453167
8.88136418293023e-68	0.894154238013953	0.463	0.268	1.03192570441466e-63	2	LOC107440240
6.26216738086255e-58	1.13012674762045	0.259	0.121	7.2760122798242e-54	2	LOC107453597
5.6651763309263e-52	0.443370370875323	0.836	0.7	6.58236837890327e-48	2	LOC107456524
1.25816455961224e-50	0.543424094358562	0.575	0.372	1.46186140181346e-46	2	LOC107452032
1.6077176018361e-48	0.2767759971883	0.987	0.945	1.86800708157336e-44	2	LOC107441347
1.03089652657728e-46	0.330810025571677	0.958	0.881	1.19779867423015e-42	2	LOC107457378
1.04351429711085e-44	0.817427905173481	0.359	0.211	1.21245926181309e-40	2	LOC107454980
1.82479339676392e-40	0.315074473613341	0.933	0.851	2.1202274477e-36	2	LOC107438795
5.3273795527554e-40	0.372992998457716	0.878	0.753	6.1898823023465e-36	2	LOC107440487
8.98694208293194e-39	0.846726477515789	0.338	0.206	1.04419280061586e-34	2	LOC107449152
2.30076625985201e-38	0.531304147319438	0.652	0.507	2.67326031732205e-34	2	LOC107455693
9.71522847506421e-38	0.759313248598289	0.459	0.324	1.12881239651771e-33	2	LOC107455364
3.85556597485112e-36	0.466108103662891	0.654	0.512	4.47978210617951e-32	2	LOC107456959
1.72458034019992e-35	0.889629680335129	0.284	0.166	2.00378989727829e-31	2	LOC107446184
6.59638614251313e-35	0.488815334214401	0.619	0.475	7.664341058986e-31	2	LOC107438136
3.15656417385506e-34	0.525888381463446	0.604	0.476	3.66761191360219e-30	2	LOC107457376
1.47629917019542e-33	0.604020622783392	0.43	0.291	1.71531200585005e-29	2	LOC107454244
1.30427409574838e-32	0.481433186205963	0.6	0.463	1.51543607185004e-28	2	LOC107445773
3.99091981506756e-32	0.463143326494381	0.651	0.526	4.637049733127e-28	2	LOC107439618
4.19184693190979e-32	0.626072950452651	0.403	0.27	4.87050695018599e-28	2	LOC107441084
4.34446924644688e-32	0.37200450185768	0.453	0.295	5.04783881744663e-28	2	LOC139424846
2.75265049856039e-31	0.768442284588506	0.281	0.168	3.19830461427732e-27	2	LOC107445067
6.16815841066425e-31	0.623355295436903	0.458	0.329	7.16678325735079e-27	2	LOC107449833
1.13172535638037e-29	0.647400333107399	0.354	0.23	1.31495169157835e-25	2	LOC107454357
1.24175613462888e-28	0.512360837150752	0.514	0.386	1.44279645282529e-24	2	LOC107453160
2.17034722091199e-28	0.527130324069032	0.486	0.357	2.52172643597764e-24	2	LOC107439814
1.1646520143075e-27	0.357273492092796	0.545	0.398	1.35320917542388e-23	2	LOC107439046
5.22785481529641e-27	0.32640778258593	0.807	0.714	6.0742445098929e-23	2	LOC107447334
2.38053401189651e-26	0.56092972973858	0.445	0.323	2.76594246842255e-22	2	LOC107452288
